2025-04-19 20:03:23.873 | INFO     | conftest:get_env:45 - --env的参数的值是test
2025-04-19 20:03:23.880 | INFO     | tools.handle_replace:replace_mark_fun:25 - 数据为空，不需要替换！
2025-04-19 20:03:23.881 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-04-19 20:03:23.881 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：http://shop.lemonban.com:8107/login
2025-04-19 20:03:23.881 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-04-19 20:03:23.881 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"principal": "lemon_py", "credentials": "12345678", "appType": 3, "loginType": 0}
2025-04-19 20:03:23.882 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-04-19 20:03:23.882 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"Content-Type":"application/json","Accept-Language":"zh"}
2025-04-19 20:03:23.882 | INFO     | tools.handle_requests:request_api:50 - =====================请求消息=======================
2025-04-19 20:03:23.882 | INFO     | tools.handle_requests:request_api:51 - 请求方法是：post
2025-04-19 20:03:23.882 | INFO     | tools.handle_requests:request_api:52 - 请求地址是：http://shop.lemonban.com:8107/login
2025-04-19 20:03:23.882 | INFO     | tools.handle_requests:request_api:53 - 请求头是：：{'Content-Type': 'application/json', 'Accept-Language': 'zh'}
2025-04-19 20:03:23.882 | INFO     | tools.handle_requests:request_api:54 - 请求参数是：{'principal': 'lemon_py', 'credentials': '12345678', 'appType': 3, 'loginType': 0}
2025-04-19 20:03:24.220 | INFO     | tools.handle_requests:request_api:76 - ===============响应消息=====================
2025-04-19 20:03:24.220 | INFO     | tools.handle_requests:request_api:77 - 响应状态码：200
2025-04-19 20:03:24.220 | INFO     | tools.handle_requests:request_api:78 - 响应消息体：{"access_token":"3eff7032-b3a3-4934-a766-c341b933065c","token_type":"bearer","refresh_token":"43b51eba-fc8b-4bee-af1c-de5680e8c3bb","expires_in":1295999,"pic":"http://shop.lemonban.com:8108/2025/04/161effda4476425ab98cb96c835e9336.png","userId":"1f6c1b09905e4d52865907a8dbea0ba6","nickName":"lemon_py","enabled":true}
2025-04-19 20:03:24.220 | INFO     | tools.handle_extract:extrac_response:34 - ===================开始提取响应数据=========================
2025-04-19 20:03:24.221 | INFO     | tools.handle_extract:extrac_response:36 - 提取响应结果的表达式是：{'access_token': '$..access_token', 'token_type': '$..token_type'}
2025-04-19 20:03:24.221 | INFO     | tools.handle_extract:extrac_response:43 - 提取的数据值是：3eff7032-b3a3-4934-a766-c341b933065c
2025-04-19 20:03:24.222 | INFO     | tools.handle_extract:extrac_response:43 - 提取的数据值是：bearer
2025-04-19 20:03:24.222 | INFO     | tools.handle_extract:extrac_response:45 - 提取并存储到环境变量的类属性：{'__module__': 'data.envr_data', '__dict__': <attribute '__dict__' of 'EnviData' objects>, '__weakref__': <attribute '__weakref__' of 'EnviData' objects>, '__doc__': None, 'access_token': '3eff7032-b3a3-4934-a766-c341b933065c', 'token_type': 'bearer'}
2025-04-19 20:03:24.222 | INFO     | tools.handle_resp_assert:response_assert:30 - ================开始做响应结果断言=============================
2025-04-19 20:03:24.222 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-04-19 20:03:24.222 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"$.nickName":"lemon_py","$.enabled":true}
2025-04-19 20:03:24.223 | INFO     | tools.handle_resp_assert:response_assert:38 - 期望结果表达式：{'$.nickName': 'lemon_py', '$.enabled': True}
2025-04-19 20:03:24.223 | INFO     | tools.handle_resp_assert:response_assert:42 - 执行结果是lemon_py
2025-04-19 20:03:24.223 | INFO     | tools.handle_resp_assert:response_assert:43 - 预期结果是lemon_py
2025-04-19 20:03:24.223 | INFO     | tools.handle_resp_assert:response_assert:46 - 断言通过！
2025-04-19 20:03:24.223 | INFO     | tools.handle_resp_assert:response_assert:42 - 执行结果是True
2025-04-19 20:03:24.224 | INFO     | tools.handle_resp_assert:response_assert:43 - 预期结果是True
2025-04-19 20:03:24.224 | INFO     | tools.handle_resp_assert:response_assert:46 - 断言通过！
2025-04-19 20:03:24.229 | INFO     | conftest:get_env:45 - --env的参数的值是test
2025-04-19 20:03:24.230 | INFO     | tools.handle_replace:replace_mark_fun:25 - 数据为空，不需要替换！
2025-04-19 20:03:24.231 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-04-19 20:03:24.234 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：http://shop.lemonban.com:8107/search/searchProdPage
2025-04-19 20:03:24.235 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-04-19 20:03:24.235 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"prodName":"真皮圆筒包"}
2025-04-19 20:03:24.235 | INFO     | tools.handle_replace:replace_mark_fun:25 - 数据为空，不需要替换！
2025-04-19 20:03:24.235 | INFO     | tools.handle_requests:request_api:50 - =====================请求消息=======================
2025-04-19 20:03:24.235 | INFO     | tools.handle_requests:request_api:51 - 请求方法是：get
2025-04-19 20:03:24.236 | INFO     | tools.handle_requests:request_api:52 - 请求地址是：http://shop.lemonban.com:8107/search/searchProdPage
2025-04-19 20:03:24.236 | INFO     | tools.handle_requests:request_api:53 - 请求头是：：None
