2025-12-02 17:37:52.990 | INFO     | conftest:get_env:45 - --env的参数的值是dev
2025-12-02 17:37:52.992 | INFO     | tools.handle_replace:replace_mark_fun:25 - 数据为空，不需要替换！
2025-12-02 17:37:52.992 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:52.992 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：https://test-api-jp.timekettle.co/apis/auth/check-email
2025-12-02 17:37:52.992 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:52.992 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"login_id":"test101@qq.com","login_type":5,"source":"Timekettle"}
2025-12-02 17:37:52.993 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:52.994 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"Connection":"Keep-Alive","Content-Type":"application/json"}
2025-12-02 17:37:52.994 | INFO     | tools.handle_requests:request_api:50 - =====================请求消息=======================
2025-12-02 17:37:52.994 | INFO     | tools.handle_requests:request_api:51 - 请求方法是：post
2025-12-02 17:37:52.994 | INFO     | tools.handle_requests:request_api:52 - 请求地址是：https://test-api-jp.timekettle.co/apis/auth/check-email
2025-12-02 17:37:52.994 | INFO     | tools.handle_requests:request_api:53 - 请求头是:{'Connection': 'Keep-Alive', 'Content-Type': 'application/json'}
2025-12-02 17:37:52.994 | INFO     | tools.handle_requests:request_api:54 - 请求参数是：{'login_id': 'test101@qq.com', 'login_type': 5, 'source': 'Timekettle'}
2025-12-02 17:37:53.389 | INFO     | conftest:get_env:45 - --env的参数的值是dev
2025-12-02 17:37:53.390 | INFO     | tools.handle_replace:replace_mark_fun:25 - 数据为空，不需要替换！
2025-12-02 17:37:53.390 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:53.390 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：https://test-api-jp.timekettle.co/apis/auth/send-code
2025-12-02 17:37:53.390 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:53.390 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"lang":"zh","login_id":"test101@qq.com","login_type":5,"opt_type":"resetPass","source":"Timekettle"}
2025-12-02 17:37:53.390 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:53.390 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是： {"Platform-Type":"0","App-Version":"3.4.8","Content-Type":"application/json"}
2025-12-02 17:37:53.391 | INFO     | tools.handle_requests:request_api:50 - =====================请求消息=======================
2025-12-02 17:37:53.391 | INFO     | tools.handle_requests:request_api:51 - 请求方法是：post
2025-12-02 17:37:53.391 | INFO     | tools.handle_requests:request_api:52 - 请求地址是：https://test-api-jp.timekettle.co/apis/auth/send-code
2025-12-02 17:37:53.391 | INFO     | tools.handle_requests:request_api:53 - 请求头是:{'Platform-Type': '0', 'App-Version': '3.4.8', 'Content-Type': 'application/json'}
2025-12-02 17:37:53.391 | INFO     | tools.handle_requests:request_api:54 - 请求参数是：{'lang': 'zh', 'login_id': 'test101@qq.com', 'login_type': 5, 'opt_type': 'resetPass', 'source': 'Timekettle'}
2025-12-02 17:37:53.610 | INFO     | conftest:get_env:45 - --env的参数的值是dev
2025-12-02 17:37:53.611 | INFO     | tools.handle_replace:replace_mark_fun:25 - 数据为空，不需要替换！
2025-12-02 17:37:53.611 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:53.611 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：https://test-api-jp.timekettle.co/apis/auth/login
2025-12-02 17:37:53.611 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:53.611 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是：{"login_id":"test101@qq.com","password":"zxj123456","login_type":5,"source":"Timekettle"}
2025-12-02 17:37:53.611 | INFO     | tools.handle_replace:replace_mark_fun:48 - 要替换的占位符为空：[],不需要做替换操作！
2025-12-02 17:37:53.612 | INFO     | tools.handle_replace:replace_mark_fun:49 - 替换完成之后的字符串是： {"Content-Type":"application/json"}
2025-12-02 17:37:53.612 | INFO     | tools.handle_requests:request_api:50 - =====================请求消息=======================
2025-12-02 17:37:53.612 | INFO     | tools.handle_requests:request_api:51 - 请求方法是：post
